%time,field.header.seq,field.header.stamp,field.header.frame_id,field.hardware_id,field.mcu_uptime,field.connection_uptime,field.drivers_active,field.driver_external_stop_present,field.driver_external_stop_stopped,field.measured_battery,field.measured_12v,field.measured_5v,field.drive_current,field.user_current,field.computer_current,field.total_current,field.total_current_peak,field.total_power_consumed
1598045902660429326,0,1598045902660144813,base_link,0.3.9,5323000000000,0,1,0,0,27.2643718719,11.9728193283,5.0241112709,1.29801166058,0.760294914246,1.30410957336,3.3624162674,-1.0,-1.0
1598045903662836543,0,1598045903661280378,base_link,0.3.9,5324000000000,0,1,0,0,27.2998218536,11.9706573486,5.02267885208,1.09032988548,0.770440101624,1.11721539497,2.97798538208,-1.0,-1.0
1598045904658554286,0,1598045904661280378,base_link,0.3.9,5325000000000,0,1,0,0,27.192489624,11.9745483398,5.0241112709,1.61848640442,0.755520701408,1.37525093555,3.74925804138,-1.0,-1.0
1598045905659969491,0,1598045905656088699,base_link,0.3.9,5326000000000,0,1,0,0,27.0378932953,11.9676303864,5.02088880539,1.92463815212,0.8050532341,2.46400976181,5.19370126724,-1.0,-1.0
1598045906655657566,0,1598045906656088699,base_link,0.3.9,5327000000000,0,1,0,0,27.1609802246,11.9732513428,5.02393245697,1.68114900589,0.781778931618,1.77038168907,4.23330974579,-1.0,-1.0
1598045907663944434,0,1598045907656088699,base_link,0.3.9,5328000000000,0,1,0,0,27.2249851227,11.9715213776,5.02196311951,1.68544590473,0.757311046124,1.10180139542,3.54455852509,-1.0,-1.0
1598045908659750336,0,1598045908656618799,base_link,0.3.9,5329000000000,0,1,0,0,27.2063732147,11.969792366,5.02298355103,1.85946893692,0.770201385021,1.21064758301,3.84031796455,-1.0,-1.0
1598045909655724518,0,1598045909656618799,base_link,0.3.9,5330000000000,0,1,0,0,27.200170517,11.9705705643,5.02298355103,1.66933262348,0.763756215572,1.26400363445,3.69709253311,-1.0,-1.0
1598045910657632374,0,1598045910657506498,base_link,0.3.9,5331000000000,0,1,0,0,27.2214412689,11.9729061127,5.0234670639,1.73378562927,0.759459376335,1.12741231918,3.620657444,-1.0,-1.0
1598045911659661979,0,1598045911657506498,base_link,0.3.9,5332000000000,0,1,0,0,30.2765693665,11.9771432877,5.02500677109,1.32307684422,0.793117702007,1.8646440506,3.98083877563,-1.0,-1.0
1598045912655822652,0,1598045912657506498,base_link,0.3.9,5333000000000,0,1,0,0,27.2663440704,11.9723873138,5.02339506149,1.26220464706,0.754327118397,1.14670944214,3.16324114799,-1.0,-1.0
1598045913657844790,0,1598045913658451496,base_link,0.3.9,5334000000000,0,1,0,0,27.1964302063,11.9706573486,5.02160453796,1.72411775589,0.757311046124,1.11439943314,3.59582829475,-1.0,-1.0
1598045914659842490,0,1598045914658451496,base_link,0.3.9,5335000000000,0,1,0,0,27.0733413696,11.9663333893,5.02303695679,1.84765267372,0.831311404705,2.85039615631,5.52936029434,-1.0,-1.0
1598045915656084088,0,1598045915659596810,base_link,0.3.9,5336000000000,0,1,0,0,27.2456626892,11.9702253342,5.02393245697,1.50211286545,0.757907807827,1.11914217472,3.37916278839,-1.0,-1.0
